"","week","month","item_no","diff","type","total_sold"
"231",16,4,"10055.011212",-39.2732745689995,"Actual",0
"232",16,4,"10055.011212",-39.2732745689995,"Predicted",39.2732745689995
"233",17,4,"10055.011212",19.2233505615834,"Actual",60
"234",17,4,"10055.011212",19.2233505615834,"Predicted",40.7766494384166
"235",18,5,"10055.011212",-40.0595439442903,"Actual",0
"236",18,5,"10055.011212",-40.0595439442903,"Predicted",40.0595439442903
"237",19,5,"10055.011212",-16.630166807949,"Actual",24
"238",19,5,"10055.011212",-16.630166807949,"Predicted",40.630166807949
"239",20,5,"10055.011212",-40.8306275721586,"Actual",0
"240",20,5,"10055.011212",-40.8306275721586,"Predicted",40.8306275721586
"241",21,5,"10055.011212",-39.3113868600951,"Actual",0
"242",21,5,"10055.011212",-39.3113868600951,"Predicted",39.3113868600951
"243",22,5,"10055.011212",89.1714977699088,"Actual",132
"244",22,5,"10055.011212",89.1714977699088,"Predicted",42.8285022300912
"245",23,6,"10055.011212",40.6655584721821,"Actual",84
"246",23,6,"10055.011212",40.6655584721821,"Predicted",43.3344415278179
"247",24,6,"10055.011212",-31.1677879343533,"Actual",12
"248",24,6,"10055.011212",-31.1677879343533,"Predicted",43.1677879343533
"249",25,6,"10055.011212",37.8518669743951,"Actual",84
"250",25,6,"10055.011212",37.8518669743951,"Predicted",46.1481330256049
"251",26,6,"10055.011212",-42.5326264327225,"Actual",0
"252",26,6,"10055.011212",-42.5326264327225,"Predicted",42.5326264327225
"253",27,7,"10055.011212",-39.9231907376455,"Actual",0
"254",27,7,"10055.011212",-39.9231907376455,"Predicted",39.9231907376455
"255",28,7,"10055.011212",-13.7318008635512,"Actual",27
"256",28,7,"10055.011212",-13.7318008635512,"Predicted",40.7318008635512
"257",29,7,"10055.011212",-26.8186644767632,"Actual",12
"258",29,7,"10055.011212",-26.8186644767632,"Predicted",38.8186644767632
"259",30,7,"10055.011212",-38.7510436890978,"Actual",0
"260",30,7,"10055.011212",-38.7510436890978,"Predicted",38.7510436890978
"261",31,7,"10055.011212",-38.8771937382946,"Actual",0
"262",31,7,"10055.011212",-38.8771937382946,"Predicted",38.8771937382946
"263",32,8,"10055.011212",-37.8645747917348,"Actual",0
"264",32,8,"10055.011212",-37.8645747917348,"Predicted",37.8645747917348
"265",33,8,"10055.011212",-37.5811615849631,"Actual",0
"266",33,8,"10055.011212",-37.5811615849631,"Predicted",37.5811615849631
"267",34,8,"10055.011212",-37.5811615849631,"Actual",0
"268",34,8,"10055.011212",-37.5811615849631,"Predicted",37.5811615849631
"269",35,8,"10055.011212",-37.5811615849631,"Actual",0
"270",35,8,"10055.011212",-37.5811615849631,"Predicted",37.5811615849631
"271",36,9,"10055.011212",-37.1696499295724,"Actual",0
"272",36,9,"10055.011212",-37.1696499295724,"Predicted",37.1696499295724
"273",37,9,"10055.011212",-37.1696499295724,"Actual",0
"274",37,9,"10055.011212",-37.1696499295724,"Predicted",37.1696499295724
"275",38,9,"10055.011212",-37.1696499295724,"Actual",0
"276",38,9,"10055.011212",-37.1696499295724,"Predicted",37.1696499295724
"277",39,9,"10055.011212",-37.1696499295724,"Actual",0
"278",39,9,"10055.011212",-37.1696499295724,"Predicted",37.1696499295724
"279",40,10,"10055.011212",-36.7626443042079,"Actual",0
"280",40,10,"10055.011212",-36.7626443042079,"Predicted",36.7626443042079
"281",41,10,"10055.011212",-36.7626443042079,"Actual",0
"282",41,10,"10055.011212",-36.7626443042079,"Predicted",36.7626443042079
"283",42,10,"10055.011212",-36.7626443042079,"Actual",0
"284",42,10,"10055.011212",-36.7626443042079,"Predicted",36.7626443042079
"285",43,10,"10055.011212",-36.7626443042079,"Actual",0
"286",43,10,"10055.011212",-36.7626443042079,"Predicted",36.7626443042079
"287",44,10,"10055.011212",-36.7626443042079,"Actual",0
"288",44,10,"10055.011212",-36.7626443042079,"Predicted",36.7626443042079
"289",45,11,"10055.011212",-7.04948926281512,"Actual",30
"290",45,11,"10055.011212",-7.04948926281512,"Predicted",37.0494892628151
"291",46,11,"10055.011212",-36.9249844778652,"Actual",0
"292",46,11,"10055.011212",-36.9249844778652,"Predicted",36.9249844778652
"293",47,11,"10055.011212",-36.9086991702359,"Actual",0
"294",47,11,"10055.011212",-36.9086991702359,"Predicted",36.9086991702359
"295",48,11,"10055.011212",-37.0494892628151,"Actual",0
"296",48,11,"10055.011212",-37.0494892628151,"Predicted",37.0494892628151
"297",49,12,"10055.011212",-35.9619543207112,"Actual",0
"298",49,12,"10055.011212",-35.9619543207112,"Predicted",35.9619543207112
"299",50,12,"10055.011212",-35.9619543207112,"Actual",0
"300",50,12,"10055.011212",-35.9619543207112,"Predicted",35.9619543207112
"301",51,12,"10055.011212",361.571851373345,"Actual",408
"302",51,12,"10055.011212",361.571851373345,"Predicted",46.4281486266553
"303",52,12,"10055.011212",-44.3505970484067,"Actual",0
"304",52,12,"10055.011212",-44.3505970484067,"Predicted",44.3505970484067
"305",1,1,"10055.011212",-49.7614427868176,"Actual",0
"306",1,1,"10055.011212",-49.7614427868176,"Predicted",49.7614427868176
"307",3,1,"10055.011624",-40.5921728919214,"Actual",0
"308",3,1,"10055.011624",-40.5921728919214,"Predicted",40.5921728919214
"309",4,1,"10055.011624",-40.5921728919214,"Actual",0
"310",4,1,"10055.011624",-40.5921728919214,"Predicted",40.5921728919214
"311",5,1,"10055.011624",17.8539650150786,"Actual",60
"312",5,1,"10055.011624",17.8539650150786,"Predicted",42.1460349849214
"313",6,2,"10055.011624",-41.4048472301754,"Actual",0
"314",6,2,"10055.011624",-41.4048472301754,"Predicted",41.4048472301754
"315",7,2,"10055.011624",-41.3683330926482,"Actual",0
"316",7,2,"10055.011624",-41.3683330926482,"Predicted",41.3683330926482
"317",8,2,"10055.011624",-29.9988964787429,"Actual",12
"318",8,2,"10055.011624",-29.9988964787429,"Predicted",41.9988964787429
"319",9,2,"10055.011624",-40.3960307533131,"Actual",0
"320",9,2,"10055.011624",-40.3960307533131,"Predicted",40.3960307533131
"321",10,3,"10055.011624",-39.9466470688866,"Actual",0
"322",10,3,"10055.011624",-39.9466470688866,"Predicted",39.9466470688866
"323",11,3,"10055.011624",-40.0075288589441,"Actual",0
"324",11,3,"10055.011624",-40.0075288589441,"Predicted",40.0075288589441
"325",12,3,"10055.011624",-39.7080758184362,"Actual",0
"326",12,3,"10055.011624",-39.7080758184362,"Predicted",39.7080758184362
"327",13,3,"10055.011624",-39.7080758184362,"Actual",0
"328",13,3,"10055.011624",-39.7080758184362,"Predicted",39.7080758184362
"329",14,4,"10055.011624",-39.2732745689995,"Actual",0
"330",14,4,"10055.011624",-39.2732745689995,"Predicted",39.2732745689995
"331",15,4,"10055.011624",-39.2732745689995,"Actual",0
"332",15,4,"10055.011624",-39.2732745689995,"Predicted",39.2732745689995
"333",16,4,"10055.011624",-39.2732745689995,"Actual",0
"334",16,4,"10055.011624",-39.2732745689995,"Predicted",39.2732745689995
"335",17,4,"10055.011624",-35.3717521127007,"Actual",4
"336",17,4,"10055.011624",-35.3717521127007,"Predicted",39.3717521127007
"337",18,5,"10055.011624",-38.9231601314898,"Actual",0
"338",18,5,"10055.011624",-38.9231601314898,"Predicted",38.9231601314898
"339",19,5,"10055.011624",-38.9208708168236,"Actual",0
"340",19,5,"10055.011624",-38.9208708168236,"Predicted",38.9208708168236
"341",20,5,"10055.011624",-38.9406335893708,"Actual",0
"342",20,5,"10055.011624",-38.9406335893708,"Predicted",38.9406335893708
"343",21,5,"10055.011624",-27.1361653259855,"Actual",12
"344",21,5,"10055.011624",-27.1361653259855,"Predicted",39.1361653259855
"345",22,5,"10055.011624",-39.0835053717549,"Actual",0
"346",22,5,"10055.011624",-39.0835053717549,"Predicted",39.0835053717549
"347",23,6,"10055.011624",-38.6487228122624,"Actual",0
"348",23,6,"10055.011624",-38.6487228122624,"Predicted",38.6487228122624
"349",24,6,"10055.011624",-38.7076264650317,"Actual",0
"350",24,6,"10055.011624",-38.7076264650317,"Predicted",38.7076264650317
"351",25,6,"10055.011624",-38.4179030862981,"Actual",0
"352",25,6,"10055.011624",-38.4179030862981,"Predicted",38.4179030862981
"353",26,6,"10055.011624",-38.4179030862981,"Actual",0
"354",26,6,"10055.011624",-38.4179030862981,"Predicted",38.4179030862981
"355",27,7,"10055.011624",-34.0925070235009,"Actual",4
"356",27,7,"10055.011624",-34.0925070235009,"Predicted",38.0925070235009
"357",28,7,"10055.011624",-38.075414137338,"Actual",0
"358",28,7,"10055.011624",-38.075414137338,"Predicted",38.075414137338
"359",29,7,"10055.011624",-38.0731746839196,"Actual",0
"360",29,7,"10055.011624",-38.0731746839196,"Predicted",38.0731746839196
"361",30,7,"10055.011624",-38.0925070235009,"Actual",0
"362",30,7,"10055.011624",-38.0925070235009,"Predicted",38.0925070235009
"363",31,7,"10055.011624",-37.9972291574218,"Actual",0
"364",31,7,"10055.011624",-37.9972291574218,"Predicted",37.9972291574218
"365",32,8,"10055.011624",-37.5811615849631,"Actual",0
"366",32,8,"10055.011624",-37.5811615849631,"Predicted",37.5811615849631
"367",33,8,"10055.011624",-37.5811615849631,"Actual",0
"368",33,8,"10055.011624",-37.5811615849631,"Predicted",37.5811615849631
"369",34,8,"10055.011624",-37.5811615849631,"Actual",0
"370",34,8,"10055.011624",-37.5811615849631,"Predicted",37.5811615849631
"371",35,8,"10055.011624",137.935718950869,"Actual",180
"372",35,8,"10055.011624",137.935718950869,"Predicted",42.064281049131
"373",36,9,"10055.011624",-40.7718405823337,"Actual",0
"374",36,9,"10055.011624",-40.7718405823337,"Predicted",40.7718405823337
"375",37,9,"10055.011624",-40.6640679773623,"Actual",0
"376",37,9,"10055.011624",-40.6640679773623,"Predicted",40.6640679773623
"377",38,9,"10055.011624",-41.6036794818214,"Actual",0
"378",38,9,"10055.011624",-41.6036794818214,"Predicted",41.6036794818214
"379",39,9,"10055.011624",-37.1696499295724,"Actual",0
